Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,3,0,0.8,410,300,110,7.3,-4.2,3.2,2.1,1
Buffalo Bills+,11,4,0,0.733,434,344,90,6,-2.1,3.9,5.4,-1.6
Miami Dolphins,6,9,0,0.4,317,369,-52,-3.5,-2.7,-6.2,-3.7,-2.5
New York Jets,3,12,0,0.2,282,426,-144,-9.6,-1.9,-11.5,-5.7,-5.8
Pittsburgh Steelers*,9,6,0,0.6,365,350,15,1,-0.6,0.4,0,0.4
Baltimore Ravens,7,8,0,0.467,359,348,11,0.7,-1.2,-0.4,-0.1,-0.4
Cincinnati Bengals,5,10,0,0.333,359,458,-99,-6.6,-0.1,-6.7,0.6,-7.2
Cleveland Browns,3,12,0,0.2,246,355,-109,-7.3,-1.6,-8.8,-8,-0.8
Jacksonville Jaguars*,11,4,0,0.733,410,312,98,6.5,1.5,8.1,5.3,2.7
Houston Texans+,10,5,0,0.667,346,249,97,6.5,2.5,9,0.6,8.4
Indianapolis Colts,8,7,0,0.533,419,351,68,4.5,1.4,6,6,-0.1
Tennessee Titans,3,12,0,0.2,251,403,-152,-10.1,3.9,-6.2,-4.1,-2.1
Denver Broncos*,12,3,0,0.8,362,295,67,4.5,-1.9,2.6,0.1,2.5
Los Angeles Chargers+,11,4,0,0.733,349,301,48,3.2,-1.6,1.6,-0.3,1.9
Kansas City Chiefs,6,9,0,0.4,337,294,43,2.9,0.4,3.3,-1,4.3
Las Vegas Raiders,2,13,0,0.133,217,386,-169,-11.3,1.2,-10,-7.9,-2.1