,,,,,,,Receiving,,,,,,,,,,,,,,,
297,Malachi Corley,23,CLE,WR,10,4,7,6,44,2,-1,-0.2,45,7.5,-1,0,,0,0,0,92.9,
298,Blake Corum,25,LAR,RB,14,0,11,6,13,0,-10,-1.7,23,3.8,1.4,0,,2,18.2,0,60,
299,Terrance Ferguson,22,LAR,TE,12,1,17,6,144,5,110,18.3,34,5.7,19.6,0,,0,0,0,86.4,
300,Ollie Gordon,21,MIA,RB,14,1,8,6,30,1,-16,-2.7,46,7.7,-2,0,,1,12.5,0,119.8,
301,Malik Heath,25,GNB,WR,11,0,7,6,86,4,57,9.5,29,4.8,9.3,1,6,1,14.3,0,117.9,
302,Alec Ingold,29,MIA,FB,14,9,8,6,40,3,8,1.3,32,5.3,3.3,0,,1,12.5,0,85.4,
303,Foster Moreau,28,NOR,TE,10,8,9,6,54,2,19,3.2,35,5.8,1.6,1,6,2,22.2,1,43.1,
304,Adam Prentice,28,DEN,FB,14,3,8,6,53,3,10,1.7,43,7.2,1.1,0,,1,12.5,0,92.2,
305,Will Shipley,23,PHI,RB,12,0,8,6,42,1,8,1.3,34,5.7,0.1,0,,0,0,0,86.5,
306,Arian Smith,24,NYJ,WR,13,5,12,6,47,4,27,4.5,20,3.3,14.6,1,6,1,8.3,1,25.3,
307,Brevyn Spann-Ford,26,DAL,TE,14,5,8,6,29,1,15,2.5,14,2.3,6.1,0,,0,0,0,119.3,
308,Casey Washington,24,ATL,WR,7,2,14,6,94,6,82,13.7,12,2,18.7,0,,1,7.1,0,65.8,
309,Rasheen Ali,24,BAL,RB,12,0,6,5,58,2,-7,-1.4,65,13,1,1,5,0,0,1,106.9,
310,Mo Alie-Cox,32,IND,TE,14,6,11,5,59,2,13,2.6,46,9.2,5.8,1,5,1,9.1,1,24.4,
311,Tutu Atwell,26,LAR,WR,7,4,11,5,173,3,112,22.4,61,12.2,17.8,0,,0,0,1,84.5,
312,Andrew Beck,29,NYJ,FB,14,2,7,5,43,3,23,4.6,20,4,5.4,0,,0,0,0,126.8,
313,Noah Brown,29,WAS,WR,4,4,10,5,83,3,72,14.4,11,2.2,11.3,0,,0,0,0,78.3,
314,Treylon Burks,25,WAS,WR,5,0,11,5,77,4,64,12.8,13,2.6,16.9,0,,0,0,1,61.6,
315,Robbie Chosen,32,WAS,WR,3,0,9,5,53,2,48,9.6,5,1,14.6,0,,0,0,0,72.9,
316,Darius Cooper,24,PHI,WR,10,0,5,5,55,3,38,7.6,17,3.4,7.6,0,,0,0,0,112.5,
317,Ray Davis,26,BUF,RB,14,0,8,5,31,3,-11,-2.2,42,8.4,0.3,0,,2,25,0,109.9,
318,Will Dissly,29,LAC,TE,6,1,6,5,44,2,10,2,34,6.8,3.2,0,,1,16.7,0,97.2,
319,Ashton Dulin,28,IND,WR,10,2,8,5,106,4,53,10.6,53,10.6,13.1,0,,0,0,0,106.2,
320,Austin Ekeler,30,WAS,RB,2,2,7,5,38,2,-11,-2.2,49,9.8,1.7,1,5,0,0,0,84.2,
321,Jalin Hyatt,24,NYG,WR,8,0,14,5,35,2,33,6.6,2,0.4,20,0,,0,0,3,4.8,
322,Kendre Miller,23,NOR,RB,7,0,5,5,30,1,-5,-1,35,7,-1,1,5,0,0,0,91.7,
323,Konata Mumpfield,23,LAR,WR,14,0,9,5,42,4,30,6,12,2.4,11.7,0,,0,0,0,104.9,
324,Albert Okwuegbunam,27,LVR,TE,1,0,6,5,36,2,2,0.4,34,6.8,3,0,,0,0,0,91.7,
325,Ben Sinnott,23,WAS,TE,13,3,5,5,77,3,33,6.6,44,8.8,6.6,0,,0,0,0,158.3,
326,Jack Stoll,27,NOR,TE,13,3,9,5,42,1,25,5,17,3.4,3.2,0,,0,0,1,65.3,
327,Kyle Williams,23,NWE,WR,14,0,13,5,143,4,70,14,73,14.6,21.9,0,,0,0,0,119.6,
328,Marquez Valdes-Scantling,31,2TM,WR,7,0,10,5,59,2,55,11,4,0.8,11.1,0,,0,0,0,101.7,
328,Marquez Valdes-Scantling,31,SFO,WR,5,0,8,4,40,1,36,9,4,1,11,0,,0,0,0,64.6,
328,Marquez Valdes-Scantling,31,PIT,WR,2,0,2,1,19,1,19,19,0,0,11.5,0,,0,0,0,122.9,
329,D'Wayne Eskridge,28,MIA,WR,12,0,7,4,62,3,53,13.3,9,2.3,13.4,0,,0,0,0,86.6,
330,Hassan Haskins,26,LAC,RB,9,0,4,4,13,0,-3,-0.8,16,4,-0.8,0,,0,0,0,80.2,
331,Taysom Hill,35,NOR,TE,10,2,7,4,23,0,16,4,7,1.8,3,0,,3,42.9,0,63.4,
332,Kameron Johnson,23,TAM,WR,14,0,7,4,64,3,44,11,20,5,12.6,0,,1,14.3,1,87.8,
333,Tom Kennedy,29,DET,WR,3,0,4,4,36,2,32,8,4,1,8,0,,0,0,0,104.2,
334,Scott Matlock,25,LAC,FB,13,5,4,4,12,1,0,0,12,3,0,0,,0,0,0,118.7,
335,Skyy Moore,25,SFO,WR,14,0,6,4,64,4,37,9.3,27,6.8,14.8,2,2,0,0,0,102.1,
336,Quintin Morris,26,JAX,TE,11,4,7,4,45,3,28,7,17,4.3,5.6,0,,0,0,0,76.5,
337,James Proche,29,TEN,WR,6,1,6,4,55,2,53,13.3,2,0.5,10.7,0,,0,0,0,95.8,
338,Ben Skowronek,28,PIT,WR,14,3,6,4,69,4,46,11.5,23,5.8,10,0,,0,0,0,145.1,
339,Devontez Walker,24,BAL,WR,9,2,6,4,90,4,88,22,2,0.5,28.5,0,,1,16.7,0,149.3,
340,Tylan Wallace,26,BAL,WR,13,2,8,4,45,3,28,7,17,4.3,13.4,0,,0,0,0,106.8,
341,Kevin Austin,25,NOR,WR,5,0,6,3,33,2,25,8.3,8,2.7,10,0,,2,33.3,0,66.7,
342,Jalen Brooks,25,ARI,WR,2,0,6,3,51,3,32,10.7,19,6.3,11.2,0,,1,16.7,0,79.2,
343,Audric Estime,22,NOR,RB,4,0,3,3,39,1,-9,-3,48,16,-3,1,3,0,0,0,118.7,
344,Trevor Etienne,21,CAR,RB,14,0,3,3,13,1,2,0.7,11,3.7,0.7,1,3,0,0,0,84.7,
345,Kylen Granson,27,PHI,TE,14,2,4,3,10,2,6,2,4,1.3,9.3,0,,1,25,0,77.1,
346,Najee Harris,27,LAC,RB,3,0,3,3,25,1,10,3.3,15,5,3.3,1,3,0,0,0,101.4,
347,KhaDarel Hodge,30,ATL,WR,12,1,10,3,31,2,22,7.3,9,3,15,1,3,1,10,0,40,
348,Dylan Laube,26,LVR,RB,14,0,4,3,18,1,-6,-2,24,8,-1.5,1,3,0,0,0,83.3,
349,Jaleel McLaughlin,25,DEN,RB,5,0,4,3,10,1,-7,-2.3,17,5.7,-3,0,,1,25,0,77.1,
350,Bo Melton,26,GNB,CB,13,0,9,3,73,3,71,23.7,2,0.7,19.1,0,,1,11.1,0,100.7,
351,James Mitchell,26,CAR,TE,4,0,3,3,28,2,7,2.3,21,7,2.3,0,,0,0,0,105.6,
352,Andrew Ogletree,27,IND,TE,14,5,4,3,16,1,14,4.7,2,0.7,4.8,0,,0,0,0,120.8,
353,Tip Reiman,24,ARI,TE,4,3,5,3,18,1,11,3.7,7,2.3,5.2,1,3,0,0,0,67.1,
354,Xavier Restrepo,23,TEN,WR,2,0,7,3,41,3,32,10.7,9,3,11,0,,0,0,0,62.2,
355,Trent Sherfield,29,2TM,WR,12,3,5,3,21,1,7,2.3,14,4.7,9,0,,0,0,0,69.6,
355,Trent Sherfield,29,DEN,WR,10,3,4,3,21,1,7,2.3,14,4.7,9.8,0,,0,0,0,86.5,
355,Trent Sherfield,29,ARI,WR,2,0,1,0,0,0,0,,0,,6,0,,0,0,0,39.6,
356,Durham Smythe,30,CHI,TE,14,1,5,3,14,0,6,2,8,2.7,4,0,,1,20,0,64.6,
357,Deven Thompkins,26,ATL,WR,4,0,3,3,27,1,7,2.3,20,6.7,2.3,0,,0,0,0,104.2,
358,Austin Trammell,27,JAX,WR,6,0,10,3,46,2,44,14.7,2,0.7,13,0,,1,10,2,6.7,
359,Justin Watson,29,HOU,WR,2,0,4,3,30,1,16,5.3,14,4.7,8.3,0,,0,0,0,95.8,
360,Xavier Weaver,25,ARI,WR,7,1,8,3,24,0,19,6.3,5,1.7,16.4,0,,0,0,1,6.2,
361,Cody White,27,SEA,WR,8,0,4,3,90,2,32,10.7,58,19.3,9.8,1,3,0,0,1,116.7,
362,Zamir White,26,LVR,RB,4,0,5,3,19,0,3,1,16,5.3,0,0,,0,0,0,67.9,
363,Josh Whyle,26,GNB,TE,6,1,4,3,24,2,11,3.7,13,4.3,4.8,0,,0,0,0,129.2,
364,Cedrick Wilson Jr.,30,MIA,WR,7,2,4,3,25,2,7,2.3,18,6,9.8,1,3,0,0,0,90.6,
365,Trayveon Williams,28,2TM,RB,4,0,3,3,4,0,-7,-2.3,11,3.7,-2.3,0,,0,0,0,79.2,
365,Trayveon Williams,28,LAC,RB,3,0,1,1,0,0,-1,-1,1,1,-1,0,,0,0,0,79.2,
365,Trayveon Williams,28,CLE,RB,1,0,2,2,4,0,-6,-3,10,5,-3,0,,0,0,0,79.2,
366,Braelon Allen,21,NYJ,RB,4,0,3,2,17,1,8,4,9,4.5,2.7,1,2,1,33.3,0,81.2,
367,Andre Baccellia,28,ARI,WR,5,2,4,2,8,0,1,0.5,7,3.5,1.8,0,,1,25,0,56.2,
368,Michael Bandy,28,DEN,WR,3,0,2,2,36,2,13,6.5,23,11.5,6.5,0,,0,0,0,158.3,
369,Brenden Bates,26,HOU,TE,3,0,2,2,23,2,23,11.5,0,0,11.5,0,,0,0,0,114.6,
370,Jake Bobo,27,SEA,WR,9,0,2,2,20,1,14,7,6,3,7,0,,0,0,0,108.3,
371,Pharaoh Brown,31,ARI,TE,5,1,2,2,1,0,1,0.5,0,0,0.5,0,,0,0,0,79.2,
372,Harrison Bryant,27,HOU,TE,9,3,6,2,7,1,7,3.5,0,0,9.7,0,,1,16.7,0,42.4,
373,Beaux Collins,23,NYG,WR,9,0,6,2,25,1,19,9.5,6,3,12.2,0,,0,0,1,7.6,
374,Malik Davis,27,DAL,RB,8,0,3,2,16,0,10,5,6,3,4.3,0,,1,33.3,0,79.9,
375,AJ Dillon,27,PHI,RB,6,0,2,2,18,0,9,4.5,9,4.5,4.5,0,,0,0,0,104.2,
376,Devin Duvernay,28,CHI,WR,14,0,4,2,26,1,26,13,0,0,17,0,,0,0,0,70.8,
377,Ross Dwelley,30,DET,TE,11,1,5,2,7,0,0,0,7,3.5,0.2,0,,0,0,0,47.9,
378,Clyde Edwards-Helaire,26,KAN,RB,2,0,2,2,9,0,-4,-2,13,6.5,-2,0,,0,0,0,85.4,
379,Tai Felton,22,MIN,WR,14,0,2,2,19,1,5,2.5,14,7,2.5,0,,0,0,0,106.2,
380,Anthony Firkser,30,DET,TE,4,2,2,2,11,1,6,3,5,2.5,3,0,,0,0,0,89.6,
381,Tucker Fisk,26,LAC,TE,10,7,4,2,19,1,-2,-1,21,10.5,5.5,0,,1,25,0,63.5,
382,Antonio Gibson,27,NWE,RB,5,0,3,2,6,0,-10,-5,16,8,-2,0,,0,0,0,70.1,
383,Xavier Gipson,24,PHI,WR,5,0,2,2,6,0,-9,-4.5,15,7.5,-4.5,0,,0,0,0,79.2,
384,Tyler Goodson,25,IND,RB,9,0,3,2,8,0,-2,-1,10,5,-1,0,,0,0,0,70.1,
385,Anthony Gould,24,IND,WR,11,1,2,2,6,0,-2,-1,8,4,-1,0,,0,0,0,79.2,
386,Connor Heyward,26,PIT,TE,14,1,3,2,18,1,17,8.5,1,0.5,9,0,,0,0,0,122.2,
387,George Holani,26,SEA,RB,11,0,2,2,15,1,-1,-0.5,16,8,-0.5,0,,0,0,0,97.9,
388,Jawhar Jordan,26,HOU,RB,1,0,2,2,17,1,-9,-4.5,26,13,-4.5,0,,0,0,0,102.1,
389,Lucas Krull,27,DEN,TE,3,3,4,2,15,0,11,5.5,4,2,5,0,,0,0,0,59.4,
390,KeAndre Lambert-Smith,24,LAC,WR,7,1,5,2,17,1,14,7,3,1.5,22.2,0,,0,0,0,89.2,
391,Tay Martin,28,WAS,WR,3,0,2,2,23,1,18,9,5,2.5,9,0,,0,0,0,114.6,
392,David Martin-Robinson,26,TEN,TE,14,4,2,2,7,2,1,0.5,6,3,0.5,0,,0,0,0,120.8,
393,Jalen McMillan,24,TAM,WR,1,1,2,2,38,2,35,17.5,3,1.5,17.5,0,,0,0,0,118.7,
394,Ryan Miller,25,TAM,WR,13,3,4,2,34,1,34,17,0,0,17.5,0,,1,25,0,118.7,
395,Eric Saubert,31,SEA,TE,8,2,2,2,21,1,10,5,11,5.5,5,0,,0,0,0,110.4,
396,Jordan Watkins,23,SFO,WR,3,0,3,2,26,1,25,12.5,1,0.5,14,0,,0,0,0,93.7,
397,Jared Wayne,25,HOU,WR,1,1,2,2,20,1,17,8.5,3,1.5,8.5,0,,0,0,0,108.3,
398,Blake Whiteheart,25,CLE,TE,14,2,4,2,4,0,3,1.5,1,0.5,8.3,0,,0,0,0,56.2,
399,Caleb Williams,24,CHI,QB,14,14,2,2,22,2,-3,-1.5,25,12.5,-1.5,0,,0,0,0,152.1,
400,Jaylen Wright,22,MIA,RB,7,0,5,2,9,0,-3,-1.5,12,6,-2.6,0,,0,0,0,47.9,
401,Colson Yankoff,25,WAS,TE,12,0,3,2,18,2,14,7,4,2,6,0,,0,0,0,82.6,
402,Dareke Young,26,SEA,WR,6,0,2,2,48,2,48,24,0,0,24,0,,0,0,0,118.7,
403,Zaire Mitchell-Paden,26,2TM,TE,8,1,3,2,17,1,12,6,5,2.5,4.3,0,,0,0,0,81.2,
403,Zaire Mitchell-Paden,26,BAL,TE,6,1,2,1,3,0,3,3,0,0,2,0,,0,0,0,56.2,
403,Zaire Mitchell-Paden,26,NOR,TE,2,0,1,1,14,1,9,9,5,5,9,0,,0,0,0,118.7,
404,Spencer Anderson,25,PIT,OL,14,4,1,1,4,0,0,0,4,4,0,0,,0,0,0,83.3,
405,Alex Bachman,29,LVR,WR,9,0,2,1,9,1,7,7,2,2,5.5,0,,0,0,0,62.5,
406,Tank Bigsby,24,PHI,RB,13,0,2,1,-1,0,-7,-7,6,6,-3,0,,0,0,0,56.2,
407,Jaydon Blue,21,DAL,RB,4,0,1,1,5,0,-5,-5,10,10,-5,0,,0,0,0,87.5,
408,Connor Colby,22,SFO,OL,10,6,1,1,-1,0,-6,-6,5,5,-6,0,,0,0,0,79.2,
409,Devin Culp,25,TAM,TE,11,0,1,1,6,1,6,6,0,0,6,0,,0,0,0,131.2,
410,Derius Davis,25,LAC,WR,10,0,2,1,3,0,-4,-4,7,7,13.5,0,,0,0,0,56.2,
411,Josiah Deguara,28,ARI,TE,9,0,2,1,6,0,5,5,1,1,5,0,,0,0,0,56.2,
412,Payne Durham,25,TAM,TE,14,8,3,1,11,1,0,0,11,11,0.7,0,,1,33.3,0,45.1,
413,Reggie Gilliam,28,BUF,FB,14,2,1,1,2,0,1,1,1,1,1,0,,0,0,0,79.2,
414,Cam Grandy,25,CIN,TE,4,1,1,1,6,0,-2,-2,8,8,-2,0,,0,0,0,91.7,
415,C.J. Ham,32,MIN,FB,8,0,1,1,5,0,4,4,1,1,4,0,,0,0,0,87.5,
416,Evan Hull,25,NOR,RB,3,0,1,1,6,0,-4,-4,10,10,-4,0,,0,0,0,91.7,
417,Shedrick Jackson,26,LVR,WR,3,0,1,1,25,1,25,25,0,0,25,0,,0,0,0,158.3,
418,Terrell Jennings,24,NWE,RB,7,0,1,1,9,0,2,2,7,7,2,0,,0,0,0,104.2,
419,Kaleb Johnson,22,PIT,RB,10,0,2,1,9,0,-5,-5,14,14,-4,0,,1,50,0,62.5,
420,Jacoby Jones,24,WAS,WR,1,0,1,1,25,1,3,3,22,22,3,0,,0,0,0,118.7,
421,Tim Jones,27,JAX,WR,2,0,1,1,15,1,4,4,11,11,4,0,,0,0,0,118.7,
422,Mason Kinsey,27,TEN,WR,7,0,3,1,14,1,12,12,2,2,19,0,,1,33.3,0,49.3,
423,Keleki Latu,23,BUF,TE,3,0,1,1,4,0,4,4,0,0,4,0,,0,0,0,83.3,
424,Patrick Mahomes,30,KAN,QB,14,14,1,1,-10,0,-8,-8,-2,-2,-8,0,,0,0,0,79.2,
425,Chris Manhertz,33,NYG,TE,14,2,1,1,7,0,1,1,6,6,1,0,,0,0,0,95.8,
426,Drake Maye,23,NWE,QB,14,14,1,1,2,0,-8,-8,10,10,-8,0,,0,0,0,79.2,
427,Scott Miller,28,PIT,WR,10,0,2,1,9,0,-1,-1,10,10,3.5,0,,0,0,0,62.5,
428,Jonathan Mingo,24,DAL,WR,3,0,2,1,25,1,21,21,4,4,19.5,0,,1,50,0,95.8,
429,David Moore,30,CAR,WR,4,2,1,1,5,0,5,5,0,0,5,0,,0,0,0,87.5,
430,Bryce Oliver,25,TEN,WR,2,0,1,1,8,0,6,6,2,2,6,0,,0,0,0,100,
431,Gunner Olszewski,29,NYG,WR,13,0,3,1,24,1,23,23,1,1,17,0,,0,0,0,102.8,
432,Dante Pettis,30,NOR,WR,5,0,1,1,14,0,14,14,0,0,14,0,,0,0,0,118.7,
433,Spencer Rattler,25,NOR,QB,9,8,2,1,0,0,0,0,0,0,2,0,,0,0,1,16.7,
434,Nikko Remigio,26,KAN,WR,13,0,1,1,21,1,18,18,3,3,18,0,,0,0,0,118.7,
435,Anthony Richardson,23,IND,QB,2,0,1,1,9,1,2,2,7,7,2,0,,0,0,0,104.2,
436,Aaron Rodgers,42,PIT,QB,13,13,1,1,-9,0,-9,-9,0,0,-9,0,,0,0,0,79.2,
437,Chris Rodriguez,25,WAS,RB,11,6,2,1,6,0,3,3,3,3,7.5,0,,0,0,1,16.7,
438,Carter Runyon,24,LVR,TE,10,0,1,1,3,0,-3,-3,6,6,-3,0,,0,0,0,79.2,
439,Jeffery Simmons,28,TEN,DT,12,12,1,1,1,1,1,1,0,0,1,0,,0,0,0,118.7,
440,Ben Sims,25,MIN,TE,5,1,1,1,9,1,4,4,5,5,4,0,,0,0,0,104.2,
441,Robert Tonyan,31,KAN,TE,14,0,1,1,1,0,1,1,0,0,1,0,,0,0,0,79.2,
442,Tahj Washington,24,MIA,WR,4,1,2,1,11,0,5,5,6,6,28,0,,0,0,1,27.1,
443,Jared Wiley,25,KAN,TE,2,0,1,1,4,1,-4,-4,8,8,-4,0,,0,0,0,83.3,
444,Jameis Winston,31,NYG,QB,3,2,1,1,33,1,13,13,20,20,13,1,1,0,0,0,158.3,
445,Tristan Wirfs,26,TAM,T,10,10,1,1,2,1,1,1,1,1,1,0,,0,0,0,118.7,
446,Ben Yurosek,23,MIN,TE,9,0,2,1,5,0,0,0,5,5,3,0,,0,0,0,56.2,
447,Cam Akers,26,MIN,RB,3,0,1,0,0,0,0,,0,,-6,0,,1,100,0,39.6,
448,Garett Bolles,33,DEN,T,14,14,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
449,Tahj Brooks,23,CIN,RB,13,0,1,0,0,0,0,,0,,-3,0,,0,0,1,0,
450,Brittain Brown,28,CHI,RB,3,0,1,0,0,0,0,,0,,4,0,,0,0,0,39.6,
451,Jason Brownlee,26,KAN,WR,5,0,1,0,0,0,0,,0,,9,0,,0,0,0,39.6,
452,Alex Cappa,30,LVR,G,14,5,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
453,Julius Chestnut,25,TEN,RB,14,0,2,0,0,0,0,,0,,11,0,,0,0,0,39.6,
454,Justin Fields,26,NYJ,QB,9,9,1,0,0,0,0,,0,,6,0,,0,0,0,39.6,
455,DJ Giddens,22,IND,RB,7,0,2,0,0,0,0,,0,,-3,0,,0,0,0,39.6,
456,Mecole Hardman,27,BUF,WR,1,0,1,0,0,0,0,,0,,46,0,,0,0,0,39.6,
457,Khalil Herbert,27,NYJ,RB,4,0,1,0,0,0,0,,0,,-4,0,,0,0,0,39.6,
458,Amar Johnson,22,LAC,RB,2,0,1,0,0,0,0,,0,,-2,0,,0,0,0,39.6,
459,Charlie Jones,27,CIN,WR,14,0,1,0,0,0,0,,0,,42,0,,0,0,0,39.6,
460,Nick Kallerup,24,SEA,TE,7,0,1,0,0,0,0,,0,,8,0,,0,0,0,39.6,
461,Elijah Mitchell,27,KAN,RB,1,0,1,0,0,0,0,,0,,16,0,,0,0,1,0,
462,Bo Nix,25,DEN,QB,14,14,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
463,Trevor Penning,26,LAC,OT,4,2,1,0,0,0,0,,0,,5,0,,0,0,0,39.6,
464,Dameon Pierce,25,HOU,RB,4,0,1,0,0,0,0,,0,,-4,0,,1,100,0,39.6,
465,Bernhard Raimann,28,IND,T,14,14,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
466,Patrick Ricard,31,BAL,FB,8,2,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
467,Brady Russell,27,SEA,FB,14,1,1,0,0,0,0,,0,,0,0,,1,100,0,39.6,
468,Stone Smartt,27,NYJ,TE,12,0,1,0,0,0,0,,0,,16,0,,0,0,0,39.6,
469,Malik Turner,29,SFO,WR,3,0,1,0,0,0,0,,0,,-5,0,,0,0,0,39.6,
470,Jack Westover,26,NWE,FB,14,1,1,0,0,0,0,,0,,12,0,,1,100,0,39.6,
471,Brayden Willis,26,SFO,TE,5,0,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
472,Luke Wypler,24,CLE,C,14,2,1,0,0,0,0,,0,,1,0,,0,0,0,39.6,