Player,Pos,Team,APY,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,IAY/PA,Bad%,Prss%,OnTgt%
Dak Prescott,QB,DAL,"$60,000,000",6,522.0,5.0,1.9,48.4,280.8,99.1,72.8,4.4,7.03,0.14,92.82,-4.45,8.17,2.67,7.9,11.9,21.3,75.9
Jordan Love,QB,GB,"$55,000,000",9,426.0,5.4,1.4,50.1,236.0,101.9,73.8,4.7,7.44,0.24,108.51,12.34,9.42,2.72,8.7,14.6,22.1,77.4
Joe Burrow,QB,CIN,"$55,000,000",3,157.0,5.1,2.5,46.1,191.8,84.3,56.5,5.99,5.22,0.11,21.96,0.2,7.86,2.69,7.6,13.3,23.6,73.5
Josh Allen,QB,BUF,"$55,000,000",10,406.0,6.2,2.5,49.7,234.0,104.3,66.4,7.52,7.09,0.19,74.15,34.8,7.54,2.77,7.3,12.8,18.1,80.4
Trevor Lawrence,QB,JAX,"$55,000,000",10,457.0,5.0,2.4,44.4,229.3,87.9,51.8,6.54,6.08,0.08,23.72,24.97,8.84,2.66,8.6,14.7,20.8,73.4
Tua Tagovailoa,QB,MIA,"$53,100,000",6,384.0,5.2,3.9,46.4,190.0,88.5,36.7,7.25,5.29,0.0,9.11,-7.47,7.07,2.56,6.7,15.9,21.9,77
Brock Purdy,QB,SF,"$53,000,000",5,190.0,6.3,3.7,55.1,240.3,96.0,72.9,3.06,6.78,0.28,59.63,11.85,8.34,3.03,7.8,12.4,21.8,80.9
Jared Goff,QB,DET,"$53,000,000",8,453.0,6.4,1.1,49.5,262.3,110.4,60.6,5.82,7.97,0.18,102.11,-4.64,6.8,2.55,6.4,16.3,23.9,78.1
Justin Herbert,QB,LAC,"$52,500,000",10,451.0,5.1,2.7,47.0,227.9,92.2,58.2,9.8,5.69,0.04,13.4,13.85,8.06,2.73,7.8,15.3,29.2,76.5
Lamar Jackson,QB,BAL,"$52,000,000",6,274.0,6.6,2.2,45.6,200.9,101.4,60.1,10.75,6.77,0.05,-2.27,20.51,9.05,2.87,8.8,18.3,23.1,72.5
Jalen Hurts,QB,PHI,"$51,000,000",9,397.0,5.5,1.5,43.4,209.2,99.4,54.6,6.81,6.87,0.08,32.26,15.05,9.42,2.78,8.9,16.5,19.7,74.7
Kyler Murray,QB,ARI,"$46,100,000",2,161.0,3.7,1.9,44.1,192.4,88.6,46.3,9.04,4.72,0.05,5.72,4.09,5.99,2.51,5.9,15.9,16.5,75.2
Deshaun Watson,QB,CLE,"$46,000,000",,,,,,,,,,,,,,,,,,,
Kirk Cousins,QB,ATL,"$45,000,000",2,182.0,3.3,1.6,45.3,174.0,86.3,40.8,4.21,6.06,-0.01,-2.97,-0.57,7.23,2.58,6.9,14.7,19.8,74.5
Patrick Mahomes,QB,KC,"$45,000,000",6,502.0,4.4,2.2,47.9,256.2,89.6,69.1,6.34,6.23,0.16,67.09,29.16,8.56,2.66,7.9,17.9,24,74.3
Ja'Marr Chase,WR,CIN,"$40,250,000",,,,,,,,,,,,,,,,,,,
Matthew Stafford,QB,LAR,"$40,000,000",11,470.0,7.9,1.1,55.4,265.9,112.2,69.7,3.89,8.42,0.17,127.89,-31.57,8.97,2.6,9,18.9,17.8,72.8
Geno Smith,QB,LV,"$37,500,000",2,397.0,4.0,3.5,45.7,203.7,84.5,32.4,10.99,4.46,-0.13,-68.22,-0.85,6.51,2.63,6.1,11.4,22.5,77
Justin Jefferson,WR,MIN,"$35,000,000",,,,,,,,,,,,,,,,,,,
CeeDee Lamb,WR,DAL,"$34,000,000",,,,,,,,,,,,,,,,,,,
Sam Darnold,QB,SEA,"$33,500,000",11,390.0,5.6,2.8,51.7,245.2,102.0,62.5,4.41,7.98,0.12,63.57,-5.0,8.71,2.7,8.2,15.3,21.2,78.9
Baker Mayfield,QB,TB,"$33,333,333",7,451.0,4.9,1.6,40.6,214.2,90.6,59.0,6.04,6.11,0.04,-10.37,30.77,8.44,2.69,8.1,15.8,14.4,72.6
D.K. Metcalf,WR,PIT,"$32,999,882",,,,,,,,,,,,,,,,,,,
Garrett Wilson,WR,NYJ,"$32,500,000",,,,,,,,,,,,,,,,,,,
A.J. Brown,WR,PHI,"$32,000,000",,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,WR,DET,"$30,002,500",,,,,,,,,,,,,,,,,,,
Tyreek Hill,WR,MIA,"$30,000,000",,,,,,,,,,,,,,,,,,,
Brandon Aiyuk,WR,SF,"$30,000,000",,,,,,,,,,,,,,,,,,,
Terry McLaurin,WR,WAS,"$29,000,000",,,,,,,,,,,,,,,,,,,
Tee Higgins,WR,CIN,"$28,750,000",,,,,,,,,,,,,,,,,,,
Rashawn Slater,LT,LAC,"$28,500,000",,,,,,,,,,,,,,,,,,,
Jaylen Waddle,WR,MIA,"$28,250,000",,,,,,,,,,,,,,,,-5,0,0,100
Tristan Wirfs,RT,TB,"$28,125,000",,,,,,,,,,,,,,,,,,,
Penei Sewell,RT,DET,"$28,000,000",,,,,,,,,,,,,,,,,,,
Trent Williams,LT,SF,"$27,553,333",,,,,,,,,,,,,,,,,,,
D.J. Moore,WR,CHI,"$27,500,000",,,,,,,,,,,,,,,,2,0,0,100
Jameson Williams,WR,DET,"$26,666,667",,,,,,,,,,,,,,,,,,,
Christian Darrisaw,LT,MIN,"$26,000,000",,,,,,,,,,,,,,,,,,,
Laremy Tunsil,LT,WAS,"$25,000,000",,,,,,,,,,,,,,,,,,,
Bernhard Raimann,LT,IND,"$25,000,000",,,,,,,,,,,,,,,,,,,
Lane Johnson,RT,PHI,"$25,000,000",,,,,,,,,,,,,,,,,,,
DeVonta Smith,WR,PHI,"$25,000,000",,,,,,,,,,,,,,,,,,,
Nico Collins,WR,HOU,"$24,250,000",,,,,,,,,,,,,,,,,,,
Tyler Smith,LG,DAL,"$24,000,000",,,,,,,,,,,,,,,,,,,
Deebo Samuel,WR,WAS,"$23,850,000",,,,,,,,,,,,,,,,,,,
Trey Smith,RG,KC,"$23,500,000",,,,,,,,,,,,,,,,,,,
Andrew Thomas,LT,NYG,"$23,500,000",,,,,,,,,,,,,,,,,,,
"Michael Pittman, Jr.",WR,IND,"$23,333,333",,,,,,,,,,,,,,,,,,,
Courtland Sutton,WR,DEN,"$23,000,000",,,,,,,,,,,,,,,,,,,
Calvin Ridley,WR,TEN,"$23,000,000",,,,,,,,,,,,,,,,,,,
Jake Matthews,LT,ATL,"$22,500,000",,,,,,,,,,,,,,,,,,,
Luke Goedeke,LG,TB,"$22,500,000",,,,,,,,,,,,,,,,,,,
Taylor Moton,RT,CAR,"$22,000,000",,,,,,,,,,,,,,,,,,,
Davante Adams,WR,LAR,"$22,000,000",,,,,,,,,,,,,,,,,,,
Jordan Mailata,LT,PHI,"$22,000,000",,,,,,,,,,,,,,,,,,,
Zach Tom,RT,GB,"$22,000,000",,,,,,,,,,,,,,,,,,,
Kolton Miller,LT,LV,"$22,000,000",,,,,,,,,,,,,,,,,,,
Chris Godwin,WR,TB,"$22,000,000",,,,,,,,,,,,,,,,,,,
Stefon Diggs,WR,NE,"$21,166,667",,,,,,,,,,,,,,,,,,,
Landon Dickerson,LG,PHI,"$21,000,000",,,,,,,,,,,,,,,,,,,
Saquon Barkley,RB,PHI,"$20,600,000",,,,,,,,,,,,,,,,,,,
Garett Bolles,LT,DEN,"$20,500,000",,,,,,,,,,,,,,,,,,,
Chris Lindstrom,RG,ATL,"$20,500,000",,,,,,,,,,,,,,,,,,,
Dan Moore Jr.,LT,TEN,"$20,500,000",,,,,,,,,,,,,,,,,,,
Mike Evans,WR,TB,"$20,500,000",,,,,,,,,,,,,,,,,,,
Dion Dawkins,LT,BUF,"$20,020,000",,,,,,,,,,,,,,,,,,,
Robert Hunt,RG,CAR,"$20,000,000",,,,,,,,,,,,,,,,,,,
Ronnie Stanley,LT,BAL,"$20,000,000",,,,,,,,,,,,,,,,,,,
Quenton Nelson,LG,IND,"$20,000,000",,,,,,,,,,,,,,,,,,,
Jawaan Taylor,RT,KC,"$20,000,000",,,,,,,,,,,,,,,,,,,
Justin Fields,QB,NYJ,"$20,000,000",2,204.0,3.4,0.5,42.0,139.9,89.5,37.7,11.69,5.03,-0.06,-24.66,6.66,7.11,2.71,6.8,12.9,26.5,77.3
Taylor Decker,LT,DET,"$20,000,000",,,,,,,,,,,,,,,,,,,
Alaric Jackson,LT,LAR,"$19,250,000",,,,,,,,,,,,,,,,,,,
Aaron Banks,LG,GB,"$19,250,000",,,,,,,,,,,,,,,,,,,
George Kittle,TE,SF,"$19,100,000",,,,,,,,,,,,,,,,,,,
Christian McCaffrey,RB,SF,"$19,000,000",,,,,,,,,,,,,,,,14,,0,
Michael Onwenu,RT,NE,"$19,000,000",,,,,,,,,,,,,,,,,,,
Trey McBride,TE,ARI,"$19,000,000",,,,,,,,,,,,,,,,,,,
Tytus Howard,RT,HOU,"$18,666,667",,,,,,,,,,,,,,,,,,,
Samuel Cosmi,RG,WAS,"$18,500,000",,,,,,,,,,,,,,,,,,,
Brian O'Neill,RT,MIN,"$18,500,000",,,,,,,,,,,,,,,,,,,
Creed Humphrey,C,KC,"$18,000,000",,,,,,,,,,,,,,,,,,,
Spencer Brown,RT,BUF,"$18,000,000",,,,,,,,,,,,,,,,,,,
Quinn Meinerz,RG,DEN,"$18,000,000",,,,,,,,,,,,,,,,,,,
Christian Kirk,WR,HOU,"$18,000,000",,,,,,,,,,,,,,,,,,,
Will Fries,RG,MIN,"$17,544,000",,,,,,,,,,,,,,,,,,,
Joe Thuney,LG,CHI,"$17,500,000",,,,,,,,,,,,,,,,,,,
Jerry Jeudy,WR,CLE,"$17,500,000",,,,,,,,,,,,,,,,,,,
Mike McGlinchey,RT,DEN,"$17,500,000",,,,,,,,,,,,,,,,,,,
Travis Kelce,TE,KC,"$17,125,000",,,,,,,,,,,,,,,,,,,
Cam Jurgens,C,PHI,"$17,000,000",,,,,,,,,,,,,,,,,,,
Elgton Jenkins,LG,GB,"$17,000,000",,,,,,,,,,,,,,,,,,,
Terence Steele,RT,DAL,"$16,500,000",,,,,,,,,,,,,,,,,,,
T.J. Hockenson,TE,MIN,"$16,500,000",,,,,,,,,,,,,,,,,,,
Orlando Brown Jr.,LT,CIN,"$16,023,000",,,,,,,,,,,,,,,,,,,
Kevin Dotson,RG,LAR,"$16,000,000",,,,,,,,,,,,,,,,,,,
Joel Bitonio,LG,CLE,"$16,000,000",,,,,,,,,,,,,,,,,,,
Abraham Lucas,RT,SEA,"$15,333,333",,,,,,,,,,,,,,,,,,,
Jonah Williams,LT,ARI,"$15,000,000",,,,,,,,,,,,,,,,,,,
Jaylon Moore,LT,KC,"$15,000,000",,,,,,,,,,,,,,,,,,,
Colton McKivitz,LT,SF,"$15,000,000",,,,,,,,,,,,,,,,,,,
Kaleb McGary,RT,ATL,"$15,000,000",,,,,,,,,,,,,,,,,,,
Cooper Kupp,WR,SEA,"$15,000,000",,,,,,,,,,,,,,,,9,100,0,0
Derrick Henry,RB,BAL,"$15,000,000",,,,,,,,,,,,,,,,10,0,0,0
Jonah Jackson,RG,CHI,"$14,833,333",,,,,,,,,,,,,,,,,,,
Wyatt Teller,RG,CLE,"$14,200,000",,,,,,,,,,,,,,,,,,,
Daniel Jones,QB,IND,"$14,000,000",8,384.0,4.9,2.1,52.0,238.5,100.2,63.8,5.42,7.3,0.17,60.23,16.18,8.24,2.55,8,12.1,20.3,78
Jonathan Taylor,RB,IND,"$14,000,000",,,,,,,,,,,,,,,,,,,
Drew Dalman,C,CHI,"$14,000,000",,,,,,,,,,,,,,,,,,,
David Njoku,TE,CLE,"$13,687,500",,,,,,,,,,,,,,,,,,,
Aaron Rodgers,QB,PIT,"$13,650,000",8,371.0,5.9,1.9,43.7,199.5,98.8,43.3,5.84,6.51,0.03,18.95,-4.68,6.3,2.5,5.9,16,16.1,75.1
Walker Little,LT,JAX,"$13,500,000",,,,,,,,,,,,,,,,,,,
Damien Lewis,LG,CAR,"$13,250,000",,,,,,,,,,,,,,,,,,,
Khalil Shakir,WR,BUF,"$13,250,000",,,,,,,,,,,,,,,,,,,
Mark Andrews,TE,BAL,"$13,089,000",,,,,,,,,,,,,,,,,,,
Ben Powers,LG,DEN,"$13,000,000",,,,,,,,,,,,,,,,,,,
Darnell Mooney,WR,ATL,"$13,000,000",,,,,,,,,,,,,,,,,,,
Cole Kmet,TE,CHI,"$12,500,000",,,,,,,,,,,,,,,,13,0,0,0
Lloyd Cushenberry,C,TEN,"$12,500,000",,,,,,,,,,,,,,,,,,,
Patrick Mekari,RG,JAX,"$12,500,000",,,,,,,,,,,,,,,,,,,
Jake Ferguson,TE,DAL,"$12,500,000",,,,,,,,,,,,,,,,,,,
Rashod Bateman,WR,BAL,"$12,250,000",,,,,,,,,,,,,,,,,,,
Alvin Kamara,RB,NO,"$12,250,000",,,,,,,,,,,,,,,,,,,
Cam Ward,QB,TEN,"$12,209,901",2,469.0,2.3,1.5,37.6,188.4,76.5,31.2,9.46,4.19,,,,,,7,19.3,27.1,73.4
Pat Freiermuth,TE,PIT,"$12,100,000",,,,,,,,,,,,,,,,,,,
Jonnu Smith,TE,PIT,"$12,010,000",,,,,,,,,,,,,,,,,,,
Dalton Schultz,TE,HOU,"$12,000,000",,,,,,,,,,,,,,,,,,,
Luke Wattenberg,C,DEN,"$12,000,000",,,,,,,,,,,,,,,,,,,
Austin Jackson,RT,MIA,"$12,000,000",,,,,,,,,,,,,,,,,,,
Josh Jacobs,RB,GB,"$12,000,000",,,,,,,,,,,,,,,,,,,
Cam Robinson,LT,CLE,"$12,000,000",,,,,,,,,,,,,,,,,,,
Darius Slayton,WR,NYG,"$12,000,000",,,,,,,,,,,,,,,,,,,
Erik McCoy,C,NO,"$12,000,000",,,,,,,,,,,,,,,,,,,
Travis Hunter,WR,JAX,"$11,662,278",,,,,,,,,,,,,,,,,,,
James Cook,RB,BUF,"$11,500,000",,,,,,,,,,,,,,,,,,,
Rob Havenstein,RT,LAR,"$11,500,000",,,,,,,,,,,,,,,,,,,
Evan Engram,TE,DEN,"$11,500,000",,,,,,,,,,,,,,,,,,,
Kyren Williams,RB,LAR,"$11,000,000",,,,,,,,,,,,,,,,,,,
Christian Watson,WR,GB,"$11,000,000",,,,,,,,,,,,,,,,,,,
Jakobi Meyers,WR,JAX,"$11,000,000",,,,,,,,,,,,,,,,,,,
Cesar Ruiz,RG,NO,"$11,000,000",,,,,,,,,,,,,,,,,,,
Will Campbell,LT,NE,"$10,915,525",,,,,,,,,,,,,,,,,,,
Russell Wilson,QB,NYG,"$10,500,000",0,119.0,2.5,2.5,38.0,138.5,77.4,26.4,7.75,5.35,-0.12,-15.68,-1.29,9.71,2.61,8.5,20.6,25.5,70.1
Juwan Johnson,TE,NO,"$10,250,000",,,,,,,,,,,,,,,,,,,
Aaron Jones,RB,MIN,"$10,000,000",,,,,,,,,,,,,,,,,,,
"Jon Runyan, Jr.",LG,NYG,"$10,000,000",,,,,,,,,,,,,,,,,,,
Dyami Brown,WR,JAX,"$10,000,000",,,,,,,,,,,,,,,,,,,
Josh Palmer,WR,BUF,"$10,000,000",,,,,,,,,,,,,,,,,,,
Dallas Goedert,TE,PHI,"$10,000,000",,,,,,,,,,,,,,,,,,,
Taysom Hill,TE,NO,"$10,000,000",,,,,,,,,,,,,,,,7.5,25,16.7,50
Mekhi Becton,RG,LAC,"$10,000,000",,,,,,,,,,,,,,,,,,,
Tutu Atwell,WR,LAR,"$10,000,000",,,,,,,,,,,,,,,,,,,
Tyler Biadasz,C,WAS,"$10,000,000",,,,,,,,,,,,,,,,,,,
Joe Mixon,RB,HOU,"$9,875,000",,,,,,,,,,,,,,,,,,,
Caleb Williams,QB,CHI,"$9,871,515",10,459.0,4.6,1.3,41.9,225.0,88.8,54.4,4.77,6.52,0.06,28.6,5.73,9.49,3.06,8.6,22.3,25,67.7
Dawson Knox,TE,BUF,"$9,833,333",,,,,,,,,,,,,,,,,,,
James Conner,RB,ARI,"$9,500,000",,,,,,,,,,,,,,,,,,,
Bryce Young,QB,CAR,"$9,488,769",7,387.0,4.9,2.3,44.6,192.3,88.4,47.6,5.61,5.62,0.0,-6.49,7.69,7.14,2.69,6.6,17,24.6,77.1
Jayden Daniels,QB,WAS,"$9,436,663",2,188.0,4.3,1.6,44.7,180.3,88.1,45.9,8.74,5.86,-0.01,-5.83,2.7,7.99,2.62,7.2,14.9,16.7,76.4
Drake Maye,QB,NE,"$9,159,941",11,409.0,5.6,1.7,52.2,254.8,109.1,71.2,9.51,7.78,0.21,121.9,1.73,9.43,2.79,9,14.7,22.2,77.9
David Montgomery,RB,DET,"$9,125,000",,,,,,,,,,,,,,,,3.5,50,50,50
C.J. Stroud,QB,HOU,"$9,069,811",6,337.0,4.5,1.8,45.0,221.9,94.1,62.5,6.39,6.34,,,,,,8,16.8,20.8,75.2
Hunter Henry,TE,NE,"$9,000,000",,,,,,,,,,,,,,,,,,,
Jack Conklin,RT,CLE,"$9,000,000",,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,RB,NE,"$9,000,000",,,,,,,,,,,,,,,,,,,
Kevin Zeitler,RG,TEN,"$9,000,000",,,,,,,,,,,,,,,,,,,
Ryan Kelly,C,MIN,"$9,000,000",,,,,,,,,,,,,,,,,,,
Ashton Jeanty,RB,LV,"$8,973,953",,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr.,WR,ARI,"$8,843,686",,,,,,,,,,,,,,,,,,,
Mike Gesicki,TE,CIN,"$8,500,000",,,,,,,,,,,,,,,,,,,
Tyler Higbee,TE,LAR,"$8,500,000",,,,,,,,,,,,,,,,,,,
Anthony Richardson,QB,IND,"$8,498,508",nan,2.0,0.0,0.0,50.0,4.5,62.5,,0.0,4.5,-0.61,-1.21,-2.43,15.5,2.27,15.5,50,0,0
Chuba Hubbard,RB,CAR,"$8,300,000",,,,,,,,,,,,,,,,,,,
Joe Alt,RT,LAC,"$8,290,236",,,,,,,,,,,,,,,,,,,
Kyle Pitts,TE,ATL,"$8,227,624",,,,,,,,,,,,,,,,,,,
Isaac Seumalo,LG,PIT,"$8,000,000",,,,,,,,,,,,,,,,,,,
D'Andre Swift,RB,CHI,"$8,000,000",,,,,,,,,,,,,,,,,,,
Ezra Cleveland,LG,JAX,"$8,000,000",,,,,,,,,,,,,,,,,,,
Morgan Moses,RT,NE,"$8,000,000",,,,,,,,,,,,,,,,,,,
Curtis Samuel,WR,BUF,"$8,000,000",,,,,,,,,,,,,,,,,,,
James Daniels,RG,MIA,"$8,000,000",,,,,,,,,,,,,,,,,,,
Marcus Mariota,QB,WAS,"$8,000,000",2,213.0,4.7,3.3,44.3,160.0,87.0,51.8,6.58,6.05,0.01,-3.06,6.7,10.93,2.72,10,16.7,19.5,74.8
Braden Smith,RT,IND,"$8,000,000",,,,,,,,,,,,,,,,,,,
Armand Membou,RT,NYJ,"$7,978,276",,,,,,,,,,,,,,,,,,,
Josh Oliver,TE,MIN,"$7,750,000",,,,,,,,,,,,,,,,,,,
Colby Parkinson,TE,LAR,"$7,500,000",,,,,,,,,,,,,,,,,,,
Connor McGovern,LG,BUF,"$7,450,000",,,,,,,,,,,,,,,,,,,
Ben Bredeson,LG,TB,"$7,333,333",,,,,,,,,,,,,,,,,,,
Malik Nabers,WR,NYG,"$7,301,938",,,,,,,,,,,,,,,,,,,
Trey Pipkins,RT,LAC,"$7,250,000",,,,,,,,,,,,,,,,,,,
Tony Pollard,RB,TEN,"$7,250,000",,,,,,,,,,,,,,,,,,,
Paris Johnson Jr.,RT,ARI,"$7,013,115",,,,,,,,,,,,,,,,,,,
Marquise Brown,WR,KC,"$7,000,000",,,,,,,,,,,,,,,,,,,
Aaron Brewer,C,MIA,"$7,000,000",,,,,,,,,,,,,,,,,,,
Jermaine Eluemunor,LT,NYG,"$7,000,000",,,,,,,,,,,,,,,,,,,
Davis Mills,QB,HOU,"$7,000,000",3,150.0,3.3,0.7,40.5,175.8,83.7,45.2,5.06,5.53,-0.07,-10.81,-0.55,9.01,2.45,8.6,19.2,17,69.9
Robert Hainsey,C,JAX,"$7,000,000",,,,,,,,,,,,,,,,,,,
John Bates,TE,WAS,"$7,000,000",,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,WR,CAR,"$6,982,598",,,,,,,,,,,,,,,,,,,
Kelvin Banks Jr.,LT,NO,"$6,932,812",,,,,,,,,,,,,,,,,,,
Ikem Ekwonu,LT,CAR,"$6,892,013",,,,,,,,,,,,,,,,,,,
Graham Glasgow,RG,DET,"$6,666,667",,,,,,,,,,,,,,,,,,,
Colston Loveland,TE,CHI,"$6,659,002",,,,,,,,,,,,,,,,,,,
J.C. Latham,LT,TEN,"$6,511,297",,,,,,,,,,,,,,,,,,,
Zach Ertz,TE,WAS,"$6,250,000",,,,,,,,,,,,,,,,,,,
Jacoby Brissett,QB,ARI,"$6,250,000",1,386.0,4.7,1.6,47.5,246.2,95.6,44.3,7.43,6.18,0.01,-1.32,7.23,8.05,2.79,7.6,18.1,25.5,73.6
Evan Neal,RT,NYG,"$6,137,814",,,,,,,,,,,,,,,,,,,
Coleman Shelton,RG,LAR,"$6,000,000",,,,,,,,,,,,,,,,,,,
Hjalte Froholdt,C,ARI,"$6,000,000",,,,,,,,,,,,,,,,,,,
Tyrod Taylor,QB,NYJ,"$6,000,000",1,134.0,3.7,3.7,41.9,129.8,72.9,51.8,9.46,3.86,-0.05,-13.31,5.41,9.02,2.8,8.6,13.5,26.5,73
Jarrett Stidham,QB,DEN,"$6,000,000",,,,,,,,,,,,,,,,,,,
Noah Gray,TE,KC,"$6,000,000",,,,,,,,,,,,,,,,,,,
Zach Wilson,QB,MIA,"$6,000,000",nan,9.0,0.0,0.0,44.4,10.7,72.5,19.0,0.0,3.56,-0.45,-5.16,-0.24,7.22,2.24,5.9,22.2,0,66.7
