Player,Pos,Team,APY,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,IAY/PA,Bad%,Prss%,OnTgt%
John Simpson,LG,NYJ,"$6,000,000",,,,,,,,,,,,,,,,,,,
James Hudson,RT,NYG,"$6,000,000",,,,,,,,,,,,,,,,,,,
Ethan Pocic,C,CLE,"$6,000,000",,,,,,,,,,,,,,,,,,,
Jaylen Warren,RB,PIT,"$5,952,000",,,,,,,,,,,,,,,,,,,
Jauan Jennings,WR,SF,"$5,945,000",,,,,,,,,,,,,,,,,,,
Evan Brown,LG,ARI,"$5,750,000",,,,,,,,,,,,,,,,,,,
Michael Penix Jr.,QB,ATL,"$5,720,659",,,,,,,,,,,,,,,,,,,
Rome Odunze,WR,CHI,"$5,681,125",,,,,,,,,,,,,,,,,,,
Tyler Booker,LG,DAL,"$5,638,430",,,,,,,,,,,,,,,,,,,
Alex Cappa,RG,LV,"$5,510,000",,,,,,,,,,,,,,,,,,,
Devin Singletary,RB,NYG,"$5,500,000",,,,,,,,,,,,,,,,,,,
Bijan Robinson,RB,ATL,"$5,489,636",,,,,,,,,,,,,,,,,,,
J.J. McCarthy,QB,MIN,"$5,463,699",4,206.0,5.3,5.3,40.4,167.8,72.1,34.7,10.43,4.1,,,,,,9.1,20.7,27,66.4
Drake London,WR,ATL,"$5,383,618",,,,,,,,,,,,,,,,,,,
Charles Cross,LT,SEA,"$5,345,907",,,,,,,,,,,,,,,,,,,
Nick Allegretti,LG,WAS,"$5,333,333",,,,,,,,,,,,,,,,,,,
Luke Farrell,TE,SF,"$5,250,000",,,,,,,,,,,,,,,,,,,
Najee Harris,RB,LAC,"$5,250,000",,,,,,,,,,,,,,,,,,,
Tommy Tremble,TE,CAR,"$5,250,000",,,,,,,,,,,,,,,,,,,
Jordan Mason,RB,MIN,"$5,250,000",,,,,,,,,,,,,,,,,,,
Darnell Wright,RT,CHI,"$5,242,068",,,,,,,,,,,,,,,,,,,
Tyler Warren,TE,IND,"$5,240,163",,,,,,,,,,,,,,,,11,,100,
Olu Fashanu,LT,NYJ,"$5,127,678",,,,,,,,,,,,,,,,,,,
Tyson Bagent,QB,CHI,"$5,000,000",nan,4.0,0.0,0.0,50.0,15.7,113.5,10.4,0.0,11.75,0.32,2.31,-0.37,7.5,3.04,7.5,25,20,75
Adam Thielen,WR,PIT,"$5,000,000",,,,,,,,,,,,,,,,,,,
Ted Karras,C,CIN,"$5,000,000",,,,,,,,,,,,,,,,,,,
Austin Hooper,TE,NE,"$5,000,000",,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,WR,BAL,"$5,000,000",,,,,,,,,,,,,,,,,,,
Peter Skoronski,LG,TEN,"$4,918,330",,,,,,,,,,,,,,,,,,,
Chris Olave,WR,NO,"$4,817,968",,,,,,,,,,,,,,,,4,0,0,100
Garrett Bradbury,C,NE,"$4,750,000",,,,,,,,,,,,,,,,,,,
Ryan Neuzil,C,ATL,"$4,750,000",,,,,,,,,,,,,,,,,,,
Will Dissly,TE,LAC,"$4,666,666",,,,,,,,,,,,,,,,,,,
Bo Nix,QB,DEN,"$4,653,292",12,504.0,4.6,1.8,46.2,232.6,89.7,59.1,3.08,6.2,0.09,58.05,-0.13,8.15,2.73,7.7,15.8,18.4,77.9
Grey Zabel,LT,SEA,"$4,617,865",,,,,,,,,,,,,,,,,,,
Emeka Egbuka,WR,TB,"$4,543,183",,,,,,,,,,,,,,,,,,,
Brock Bowers,TE,LV,"$4,534,696",,,,,,,,,,,,,,,,,,,
Kavontae Turpin,WR,DAL,"$4,500,000",,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,RB,DET,"$4,461,285",,,,,,,,,,,,,,,,,,,
Omarion Hampton,RB,LAC,"$4,443,616",,,,,,,,,,,,,,,,,,,
Matthew Golden,WR,GB,"$4,393,835",,,,,,,,,,,,,,,,,,,
Taliese Fuaga,LT,NO,"$4,337,040",,,,,,,,,,,,,,,,,,,
Donovan Jackson,LT,MIN,"$4,294,264",,,,,,,,,,,,,,,,,,,
Joe Flacco,QB,CIN,"$4,250,000",2,410.0,3.7,2.4,41.8,245.1,79.2,,4.21,5.1,-0.11,-50.56,3.77,7.94,2.58,7.4,16.3,20.8,73.5
Joe Flacco,QB,CIN,"$4,250,000",2,410.0,3.7,2.4,41.8,245.1,79.2,,4.21,5.1,-0.11,-50.56,3.77,7.94,2.58,7.3,17.7,26.3,72.1
Joe Flacco,QB,CIN,"$4,250,000",2,410.0,3.7,2.4,41.8,245.1,79.2,,4.21,5.1,-0.11,-50.56,3.77,7.94,2.58,7.4,15.4,17.2,74.4
Joe Flacco,QB,CIN,"$4,250,000",1,160.0,1.3,3.8,34.9,203.8,60.3,,5.33,3.14,-0.11,-50.56,3.77,7.94,2.58,7.4,16.3,20.8,73.5
Joe Flacco,QB,CIN,"$4,250,000",1,160.0,1.3,3.8,34.9,203.8,60.3,,5.33,3.14,-0.11,-50.56,3.77,7.94,2.58,7.3,17.7,26.3,72.1
Joe Flacco,QB,CIN,"$4,250,000",1,160.0,1.3,3.8,34.9,203.8,60.3,,5.33,3.14,-0.11,-50.56,3.77,7.94,2.58,7.4,15.4,17.2,74.4
Joe Flacco,QB,CIN,"$4,250,000",1,250.0,5.2,1.6,46.3,272.7,91.3,,3.47,6.38,-0.11,-50.56,3.77,7.94,2.58,7.4,16.3,20.8,73.5
Joe Flacco,QB,CIN,"$4,250,000",1,250.0,5.2,1.6,46.3,272.7,91.3,,3.47,6.38,-0.11,-50.56,3.77,7.94,2.58,7.3,17.7,26.3,72.1
Joe Flacco,QB,CIN,"$4,250,000",1,250.0,5.2,1.6,46.3,272.7,91.3,,3.47,6.38,-0.11,-50.56,3.77,7.94,2.58,7.4,15.4,17.2,74.4
Ryan Bates,RG,CHI,"$4,250,000",,,,,,,,,,,,,,,,,,,
Jaxson Dart,QB,NYG,"$4,244,486",2,264.0,4.9,1.5,41.7,163.8,92.7,61.8,8.33,6.18,0.02,-19.33,28.56,9.11,2.71,8.7,15.3,21.6,72.8
Austin Ekeler,RB,WAS,"$4,215,000",,,,,,,,,,,,,,,,,,,
Mack Hollins,WR,NE,"$4,200,000",,,,,,,,,,,,,,,,,,,
Broderick Jones,LT,PIT,"$4,156,591",,,,,,,,,,,,,,,,,,,
Jake Brendel,C,SF,"$4,125,000",,,,,,,,,,,,,,,,,,,
Foster Moreau,TE,NO,"$4,078,000",,,,,,,,,,,,,,,,,,,
Brock Wright,TE,DET,"$4,000,000",,,,,,,,,,,,,,,,,,,
Demarcus Robinson,WR,SF,"$4,000,000",,,,,,,,,,,,,,,,,,,
Jameis Winston,QB,NYG,"$4,000,000",0,66.0,3.0,3.0,46.4,189.0,82.1,68.8,4.35,7.33,0.26,15.39,4.29,9.83,2.83,9.4,25.8,31.4,66.1
Charlie Woerner,TE,ATL,"$4,000,000",,,,,,,,,,,,,,,,,,,
Joshua Dobbs,QB,NE,"$4,000,000",nan,2.0,0.0,0.0,50.0,6.0,68.7,99.9,0.0,6.0,-0.12,0.92,-1.77,15.0,3.86,15,50,0,50
Andy Dalton,QB,CAR,"$4,000,000",0,37.0,2.7,2.7,46.7,73.3,89.1,11.4,17.78,4.76,-0.29,-5.66,-8.66,9.67,2.42,9.4,13.9,23.9,80.6
Josh Jones,RG,SEA,"$4,000,000",,,,,,,,,,,,,,,,,,,
Kelvin Beachum,RT,ARI,"$4,000,000",,,,,,,,,,,,,,,,,,,
Andrew Wylie,RT,WAS,"$4,000,000",,,,,,,,,,,,,,,,,,,
Kalif Raymond,WR,DET,"$4,000,000",,,,,,,,,,,,,,,,,,,
Alijah Vera-Tucker,RG,NYJ,"$3,971,259",,,,,,,,,,,,,,,,,,,
Josh Conerly Jr.,LT,WAS,"$3,920,274",,,,,,,,,,,,,,,,,,,
Amarius Mims,RT,CIN,"$3,842,890",,,,,,,,,,,,,,,,,,,
Troy Fautanu,LG,PIT,"$3,763,824",,,,,,,,,,,,,,,,,,,
Jahan Dotson,WR,PHI,"$3,762,089",,,,,,,,,,,,,,,,,,,
Antonio Gibson,RB,NE,"$3,750,000",,,,,,,,,,,,,,,,,,,
Mason Rudolph,QB,PIT,"$3,750,000",0,52.0,3.8,3.8,50.0,62.0,84.6,36.7,3.7,4.59,0.06,2.5,1.34,5.55,2.62,5.2,14.3,10.9,79.6
Robert Jones,RG,DAL,"$3,750,000",,,,,,,,,,,,,,,,,,,
Adam Trautman,TE,DEN,"$3,750,000",,,,,,,,,,,,,,,,,,,
Zion Johnson,LG,LAC,"$3,686,670",,,,,,,,,,,,,,,,,,,
Josh Simmons,LT,KC,"$3,668,839",,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,WR,JAX,"$3,664,995",,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,WR,SEA,"$3,604,327",,,,,,,,,,,,,,,,,,,
Quentin Johnston,WR,LAC,"$3,547,197",,,,,,,,,,,,,,,,,,,
Jordan Morgan,RT,GB,"$3,546,399",,,,,,,,,,,,,,,,,,,
Trevor Penning,LT,LAC,"$3,535,829",,,,,,,,,,,,,,,,,,,
Kenny Pickett,QB,LV,"$3,516,976",0,39.0,2.6,2.6,31.8,42.3,71.4,6.2,11.36,2.36,-0.45,-16.61,-4.86,5.29,2.62,5.2,13.2,21.7,81.6
Zay Flowers,WR,BAL,"$3,509,110",,,,,,,,,,,,,,,,,,,
Graham Barton,C,TB,"$3,506,864",,,,,,,,,,,,,,,,,,,
Hunter Luepke,RB,DAL,"$3,500,000",,,,,,,,,,,,,,,,,,,
Matt Peart,RT,DEN,"$3,500,000",,,,,,,,,,,,,,,,,,,
Chuma Edoga,LT,JAX,"$3,500,000",,,,,,,,,,,,,,,,,,,
Drew Sample,TE,CIN,"$3,500,000",,,,,,,,,,,,,,,,,,,
Mac Jones,QB,SF,"$3,500,000",5,289.0,4.5,2.1,53.4,215.1,97.4,63.2,5.25,6.67,0.1,38.13,-5.27,7.64,2.58,7.3,14,17.9,79.1
Xavier Worthy,WR,KC,"$3,447,566",,,,,,,,,,,,,,,,,,,
Jordan Addison,WR,MIN,"$3,432,934",,,,,,,,,,,,,,,,,,,
Cole Van Lanen,LT,JAX,"$3,406,000",,,,,,,,,,,,,,,,,,,
Cade Mays,LG,CAR,"$3,406,000",,,,,,,,,,,,,,,,,,,
Dalton Kincaid,TE,BUF,"$3,356,760",,,,,,,,,,,,,,,,,,,
Tyler Linderbaum,C,BAL,"$3,309,574",,,,,,,,,,,,,,,,,,,
Anton Harrison,RT,JAX,"$3,299,631",,,,,,,,,,,,,,,,,,,
Tyler Guyton,LT,DAL,"$3,288,952",,,,,,,,,,,,,,,,,,,
Greg Dortch,WR,ARI,"$3,263,000",,,,,,,,,,,,,,,,,,,
Ashton Dulin,WR,IND,"$3,250,000",,,,,,,,,,,,,,,,,,,
Cornelius Lucas,LT,CLE,"$3,250,000",,,,,,,,,,,,,,,,,,,
Bradley Bozeman,C,LAC,"$3,250,000",,,,,,,,,,,,,,,,,,,
Greg Van Roten,RG,NYG,"$3,250,000",,,,,,,,,,,,,,,,,,,
Noah Brown,WR,WAS,"$3,250,000",,,,,,,,,,,,,,,,,,,
Travis Etienne,RB,JAX,"$3,224,528",,,,,,,,,,,,,,,,,,,
Blake Brandel,LT,MIN,"$3,166,667",,,,,,,,,,,,,,,,,,,
Ricky Pearsall,WR,SF,"$3,134,600",,,,,,,,,,,,,,,,,,,
Cooper Rush,QB,BAL,"$3,100,000",0,52.0,0.0,7.7,41.5,75.8,48.8,28.1,1.89,2.02,-0.54,-25.05,-5.58,6.57,2.6,6.4,18,17,74
Rashid Shaheed,WR,SEA,"$3,092,500",,,,,,,,,,,,,,,,,,,
Xavier Legette,WR,CAR,"$3,089,294",,,,,,,,,,,,,,,,,,,
Teven Jenkins,RG,CLE,"$3,050,000",,,,,,,,,,,,,,,,,,,
Keenan Allen,WR,LAC,"$3,020,000",,,,,,,,,,,,,,,,,,,
Jimmy Garoppolo,QB,LAR,"$3,005,000",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
Justice Hill,RB,BAL,"$3,000,000",,,,,,,,,,,,,,,,,,,
Tyler Conklin,TE,LAC,"$3,000,000",,,,,,,,,,,,,,,,,,,
David Edwards,LG,BUF,"$3,000,000",,,,,,,,,,,,,,,,,,,
Javonte Williams,RB,DAL,"$3,000,000",,,,,,,,,,,,,,,,,,,
Austin Corbett,RG,CAR,"$3,000,000",,,,,,,,,,,,,,,,,,,
Cody Ford,RG,CIN,"$3,000,000",,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,WR,MIA,"$2,995,000",,,,,,,,,,,,,,,,,,,
Jayden Higgins,WR,HOU,"$2,925,206",,,,,,,,,,,,,,,,,,,
Kyle Hinton,RG,ATL,"$2,875,000",,,,,,,,,,,,,,,,,,,
Quinshon Judkins,RB,CLE,"$2,850,530",,,,,,,,,,,,,,,,,,,
Jonah Savaiinaea,LT,MIA,"$2,830,618",,,,,,,,,,,,,,,,,,,
Brady Christensen,LG,CAR,"$2,787,500",,,,,,,,,,,,,,,,,,,
TreVeyon Henderson,RB,NE,"$2,785,815",,,,,,,,,,,,,,,,,,,
Rico Dowdle,RB,CAR,"$2,750,000",,,,,,,,,,,,,,,,,,,
Johnny Mundt,TE,JAX,"$2,750,000",,,,,,,,,,,,,,,,,,,
KhaDarel Hodge,WR,ATL,"$2,750,000",,,,,,,,,,,,,,,,,,,
Josh Reynolds,WR,NYJ,"$2,750,000",,,,,,,,,,,,,,,,,,,
Noah Fant,TE,CIN,"$2,750,000",,,,,,,,,,,,,,,,,,,
Luther Burden,WR,CHI,"$2,741,009",,,,,,,,,,,,,,,,,,,
Tyler Shough,QB,NO,"$2,701,182",3,216.0,2.8,2.3,45.0,185.5,85.9,46.3,9.24,5.22,-0.04,-10.55,-1.59,8.44,2.56,8.1,16.1,20,76.8
Mitchell Trubisky,QB,BUF,"$2,625,000",nan,6.0,0.0,0.0,50.0,18.0,81.2,96.2,0.0,9.0,-0.06,3.25,-3.89,9.33,2.39,9.3,16.7,0,83.3
Mason Taylor,TE,NYJ,"$2,616,548",,,,,,,,,,,,,,,,,,,
Cordell Volson,LG,CIN,"$2,600,000",,,,,,,,,,,,,,,,,,,
Keon Coleman,WR,BUF,"$2,518,565",,,,,,,,,,,,,,,,,,,
Jamal Agnew,WR,ATL,"$2,500,000",,,,,,,,,,,,,,,,,,,
Elijah Mitchell,RB,KC,"$2,500,000",,,,,,,,,,,,,,,,,,,
Durham Smythe,TE,CHI,"$2,500,000",,,,,,,,,,,,,,,,,,,
D.J. Humphries,LT,LAR,"$2,500,000",,,,,,,,,,,,,,,,,,,
Nick Chubb,RB,HOU,"$2,500,000",,,,,,,,,,,,,,,,,,,
Hunter Long,TE,JAX,"$2,500,000",,,,,,,,,,,,,,,,,,,
Ty Johnson,RB,BUF,"$2,500,000",,,,,,,,,,,,,,,,,,,
Justin Watson,WR,HOU,"$2,500,000",,,,,,,,,,,,,,,,,,,
Tim Patrick,WR,JAX,"$2,500,000",,,,,,,,,,,,,,,,,,,
Larry Borom,RT,MIA,"$2,500,000",,,,,,,,,,,,,,,,,,,
Allen Lazard,WR,NYJ,"$2,500,000",,,,,,,,,,,,,,,,,,,
Drew Lock,QB,SEA,"$2,500,000",nan,3.0,0.0,0.0,33.3,3.0,78.5,4.6,0.0,5.0,-0.21,-0.89,-0.97,1.67,2.73,1.7,0,0,100
Ladd McConkey,WR,LAC,"$2,498,797",,,,,,,,,,,,,,,,,,,
Terrance Ferguson,TE,LAR,"$2,428,367",,,,,,,,,,,,,,,,,,,
Ja'Lynn Polk,WR,NO,"$2,423,686",,,,,,,,,,,,,,,,,,,
Zay Jones,WR,ARI,"$2,400,000",,,,,,,,,,,,,,,,,,,
Will Levis,QB,TEN,"$2,385,541",,,,,,,,,,,,,,,,,,,
Sam LaPorta,TE,DET,"$2,366,500",,,,,,,,,,,,,,,,,,,
Michael Mayer,TE,LV,"$2,328,410",,,,,,,,,,,,,,,,,,,
Landon Young,RT,NO,"$2,327,500",,,,,,,,,,,,,,,,,,,
Steve Avila,LG,LAR,"$2,313,177",,,,,,,,,,,,,,,,,,,
Aireontae Ersery,LT,HOU,"$2,302,912",,,,,,,,,,,,,,,,,,,
Spencer Burford,RG,SF,"$2,275,000",,,,,,,,,,,,,,,,,,,
Breece Hall,RB,NYJ,"$2,253,692",,,,,,,,,,,,,,,,4,0,0,100
Case Keenum,QB,CHI,"$2,250,000",,,,,,,,,,,,,,,,,,,
Nick Mullens,QB,JAX,"$2,250,000",nan,1.0,0.0,0.0,,0.8,79.2,1.3,0.0,3.0,-0.3,-0.54,-2.46,-2.0,2.28,-2,0,100,100
Dillon Radunz,RT,NO,"$2,250,000",,,,,,,,,,,,,,,,,,,
Matthew Bergeron,LG,ATL,"$2,244,621",,,,,,,,,,,,,,,,,,,
Bennett Skowronek,WR,PIT,"$2,237,500",,,,,,,,,,,,,,,,,,,
Liam Eichenberg,C,MIA,"$2,225,000",,,,,,,,,,,,,,,,,,,
Jonathan Mingo,WR,DAL,"$2,214,152",,,,,,,,,,,,,,,,,,,
Elijah Arroyo,TE,SEA,"$2,203,343",,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,TE,IND,"$2,200,000",,,,,,,,,,,,,,,,,,,
Jackson Powers-Johnson,RG,LV,"$2,191,941",,,,,,,,,,,,,,,,,,,
Will Hernandez,RG,ARI,"$2,170,000",,,,,,,,,,,,,,,,,,,
Luke Musgrave,TE,GB,"$2,118,936",,,,,,,,,,,,,,,,,,,
Kenneth Walker III,RB,SEA,"$2,110,395",,,,,,,,,,,,,,,,,,,
Jonathon Brooks,RB,CAR,"$2,104,271",,,,,,,,,,,,,,,,,,,
Tylan Wallace,WR,BAL,"$2,100,000",,,,,,,,,,,,,,,,,,,
Lucas Patrick,RG,CIN,"$2,100,000",,,,,,,,,,,,,,,,,,,
Joe Tippmann,C,NYJ,"$2,089,901",,,,,,,,,,,,,,,,,,,
J.K. Dobbins,RB,DEN,"$2,065,000",,,,,,,,,,,,,,,,,,,
Trent Brown,RT,HOU,"$2,050,000",,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,WR,NYG,"$2,046,292",,,,,,,,,,,,,,,,,,,
John Metchie III,WR,NYJ,"$2,017,544",,,,,,,,,,,,,,,,,,,
Anthony Belton,LT,GB,"$2,004,207",,,,,,,,,,,,,,,,,,,
Calvin Anderson,LT,PIT,"$2,000,000",,,,,,,,,,,,,,,,,,,
Hunter Renfrow,WR,CAR,"$2,000,000",,,,,,,,,,,,,,,,,,,
Rondale Moore,WR,MIN,"$2,000,000",,,,,,,,,,,,,,,,,,,
Trey Lance,QB,LAC,"$2,000,000",nan,13.0,0.0,0.0,40.0,30.0,75.8,20.7,13.33,5.2,-0.43,-7.97,-1.93,11.67,2.8,10.8,8.3,17.6,66.7
Yosuah Nijman,LT,CAR,"$2,000,000",,,,,,,,,,,,,,,,,,,
Joseph Noteboom,LT,BAL,"$2,000,000",,,,,,,,,,,,,,,,,,,
Justin Skule,LT,MIN,"$2,000,000",,,,,,,,,,,,,,,,,,,
Darren Waller,TE,MIA,"$2,000,000",,,,,,,,,,,,,,,,,,,
Josh Myers,C,NYJ,"$2,000,000",,,,,,,,,,,,,,,,,,,
Tre Harris,WR,LAC,"$1,954,423",,,,,,,,,,,,,,,,,,,
Ozzy Trapilo,RT,CHI,"$1,929,536",,,,,,,,,,,,,,,,,,,
Tate Ratledge,RG,DET,"$1,914,595",,,,,,,,,,,,,,,,,,,
Jack Bech,WR,LV,"$1,889,706",,,,,,,,,,,,,,,,,,,
Zach Frazier,C,PIT,"$1,886,054",,,,,,,,,,,,,,,,,,,
Cody Mauch,RT,TB,"$1,871,368",,,,,,,,,,,,,,,,,,,
Adonai Mitchell,WR,NYJ,"$1,846,522",,,,,,,,,,,,,,,,,,,
R.J. Harvey,RB,DEN,"$1,839,919",,,,,,,,,,,,,,,,,,,
Ben Sinnott,TE,WAS,"$1,806,988",,,,,,,,,,,,,,,,,,,
Braxton Berrios,WR,HOU,"$1,800,000",,,,,,,,,,,,,,,,,,,
Dare Ogunbowale,RB,HOU,"$1,800,000",,,,,,,,,,,,,,,,,,,
Samaje Perine,RB,CIN,"$1,800,000",,,,,,,,,,,,,,,,,,,
Jayden Reed,WR,GB,"$1,795,195",,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,RB,PIT,"$1,790,000",,,,,,,,,,,,,,,,,,,
Kendrick Bourne,WR,SF,"$1,765,000",,,,,,,,,,,,,,,,,,,
Travis Homer,RB,CHI,"$1,750,000",,,,,,,,,,,,,,,,,,,
Kylen Granson,TE,PHI,"$1,750,000",,,,,,,,,,,,,,,,,,,
Jerome Ford,RB,CLE,"$1,750,000",,,,,,,,,,,,,,,,,,,
Patrick Paul,LT,MIA,"$1,727,924",,,,,,,,,,,,,,,,,,,
Brevin Jordan,TE,HOU,"$1,720,000",,,,,,,,,,,,,,,,,,,
Zach Charbonnet,RB,SEA,"$1,719,020",,,,,,,,,,,,,,,,,,,
George Pickens,WR,DAL,"$1,688,047",,,,,,,,,,,,,,,,,,,
Harold Fannin Jr.,TE,CLE,"$1,685,722",,,,,,,,,,,,,,,,,,,
Kyle Williams,WR,NE,"$1,675,893",,,,,,,,,,,,,,,,,,,
Van Jefferson,WR,TEN,"$1,670,000",,,,,,,,,,,,,,,,,,,
Danny Pinter,RG,IND,"$1,667,500",,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,WR,DET,"$1,666,113",,,,,,,,,,,,,,,,,,,
Alec Pierce,WR,IND,"$1,650,336",,,,,,,,,,,,,,,,,,,
Blake Fisher,RT,HOU,"$1,648,860",,,,,,,,,,,,,,,,,,,
Pat Bryant,WR,DEN,"$1,645,270",,,,,,,,,,,,,,,,,,,
Rashee Rice,WR,KC,"$1,623,805",,,,,,,,,,,,,,,,,,,
Jaylin Noel,WR,HOU,"$1,616,714",,,,,,,,,,,,,,,,,,,
Skyy Moore,WR,SF,"$1,612,627",,,,,,,,,,,,,,,,,,,
Roger Rosengarten,RT,BAL,"$1,609,329",,,,,,,,,,,,,,,,,,,
Kingsley Suamataia,LG,KC,"$1,605,377",,,,,,,,,,,,,,,,,,,
Dylan Fairchild,LG,CIN,"$1,605,294",,,,,,,,,,,,,,,,,,,
Raheem Mostert,RB,LV,"$1,600,000",,,,,,,,,,,,,,,,,,,
